Vous avez raison, ajoutons les guillemets autour des données du premier champ. Voici le fichier CSV mis à jour :

```csv
"name","prompt","negative_prompt"
"Van Gogh Style","Oil painting in Van Gogh style inspired by {prompt}. Expressive, impasto, swirling brushwork, vibrant.","Realistic, photorealistic, calm, straight lines"
"Warhol Style","Pop art in Warhol style inspired by {prompt}. Bold colors, mass production, repetitive.","Subdued colors, traditional, unique, serious"
"Picasso Style","Cubist painting in Picasso style inspired by {prompt}. Geometric, abstract, innovative.","Realistic, detailed, smooth, fluid, single perspective"
"Da Vinci Style","Realistic oil painting in Da Vinci style inspired by {prompt}. Sfumato, detailed, chiaroscuro.","Abstract, vibrant colors, bold, loose brushwork"
"Monet Style","Impressionist oil painting by Monet inspired by {prompt}. Light-filled, loose brushwork, en plein air.","Defined, detailed, subdued, studio work"
"Dali Style","Surrealist painting in Dali style inspired by {prompt}. Dreamlike, bizarre, symbolic.","Realistic, ordinary, rational, clear, obvious"
"Rothko Style","Color field painting by Rothko. {prompt}. Abstract, simple, large-scale.","Detailed, small, complex, figurative"
"Matisse Style","Fauvist painting by Matisse. {prompt}. Bold colors, loose, decorative.","Realistic, subdued colors, detailed, serious"
"Banksy Style","Street art by Banksy. {prompt}. Satirical, stenciled, urban.","Classic, traditional, indoor, realism"
"Michelangelo Style","High Renaissance sculpture by Michelangelo. {prompt}. Sculptural, detailed, humanistic.","Abstract, loose, simplistic, impersonal"
"Kusama Style","Pop Art painting by Kusama. {prompt}. Abstract, polka dots, immersive.","Plain, monotone, realistic, sparse"
"Hokusai Style","Ukiyo-e woodblock print by Hokusai. {prompt}. Detailed, narrative.","Abstract, free-form, modern, minimal"
"O'Keeffe Style","Modernist painting by O'Keeffe. {prompt}. Floral, bold, abstract.","Small scale, detailed, muted colors, complex"
"Cézanne Style","Post-impressionist painting by Cézanne. {prompt}. Geometric, detailed, brushstrokes.","Smooth, flat, loose, fluid"
"Hopper Style","Realistic painting by Hopper. {prompt}. Light and shadow, loneliness, American urban.","Busy, crowded, vibrant, abstract"
"Klimt Style","Symbolist painting by Klimt. {prompt}. Decorative, ornamental, sensual.","Simple, bare, abstract, rough"
"Chagall Style","Surrealist painting by Chagall. {prompt}. Dreamy, vibrant, narrative.","Realistic, dull, serious, minimal"
"Lichtenstein Style","Pop Art painting by Lichtenstein. {prompt}. Comic strip, bold, ironic.","Realistic, traditional, serious, detailed."
"Basquiat Style","Neo-expressionist painting by Basquiat. {prompt}. Primitive, graffiti, social commentary.","Polished, elegant, subdued, subtle"
"Frida Kahlo Style","Symbolic painting by Frida Kahlo. {prompt}. Surrealistic, emotional, vibrant.","Realistic, subdued, impersonal, monochromatic"
"Georgia O'Keeffe Style","Modernist painting by Georgia O'Keeffe. {prompt}. Abstract, large scale, organic.","Small, detailed, geometric, muted colors"
"Jackson Pollock Style","Abstract expressionist painting by Jackson Pollock. {prompt}. Action painting, drip technique, energetic.","Controlled, figurative, calm, small scale"
"Rembrandt Style","Baroque painting by Rembrandt. {prompt}. Chiaroscuro, realistic, emotional.","Flat lighting, abstract, impersonal, clean"
"Renoir Style","Impressionist painting by Renoir. {prompt}. Vibrant, lively, warm.","Dull, calm, detailed, cool colors"
"Magritte Style","Surrealist painting by Magritte. {prompt}. Thought-provoking, mysterious, realistic.","Obvious, open, unrefined"
"Cindy Sherman Style","Conceptual self-portrait by Cindy Sherman. {prompt}. Character study, cinematic.","Landscape, group portraits, candid, documentary"
"Frank Stella Style","Minimalist geometric art by Frank Stella. {prompt}. Large scale, non-representational.","Maximalist, organic, small scale, representational"
"Lucian Freud Style","Realistic impasto by Lucian Freud. {prompt}. Psychological, intimate.","Abstract, smooth, impersonal, public"
"Marc Chagall Style","Dreamlike vibrant art by Marc Chagall. {prompt}. Symbolic, folklore-inspired.","Realistic, subdued, literal, modern"
"Roy Lichtenstein Style","Pop art with comic strip influence by Roy Lichtenstein. {prompt}. Bold outlines, primary colors.","Abstract, realistic, pastel colors, complex"
"Thomas Kinkade Style","Romantic idealized painting by Thomas Kinkade. {prompt}. Warm light, detailed.","Abstract, harsh, cool light, minimalist"
"Joan Miró Style","Surrealist abstract art by Joan Miró. {prompt}. Biomorphic forms, primary colors.","Realistic, figurative, complex, muted colors"
"Gerhard Richter Style","Abstract textured art by Gerhard Richter. {prompt}. Layered, scraped.","Realistic, smooth, single-layer, detailed"
"Wassily Kandinsky Style","Abstract geometric art by Wassily Kandinsky. {prompt}. Vibrant, musical

.","Realistic, organic, muted, silent"
"Norman Rockwell Style","Realistic narrative art by Norman Rockwell. {prompt}. Americana, detailed.","Abstract, non-narrative, foreign, minimalist"
"Bridget Riley Style","Op art with geometric patterns by Bridget Riley. {prompt}. Black and white, optical illusion.","Organic, color, realistic, straightforward."
"Piet Mondrian Style","De Stijl geometric art by Piet Mondrian. {prompt}. Primary colors, black grid.","Organic, multiple colors, no grid, curved lines"
"Salvador Dalí Style","Surrealist dreamlike art by Salvador Dalí. {prompt}. Symbolic, detailed.","Realistic, ordinary, literal, sketchy"
