name,prompt,negative_prompt
Logo LORA SDXL," A Logo for (SUBJECT), minimalist, colorful, black and white, LogoRedAF,  <lora:LogoRedmond_LogoRedAF:1>",
Keywords Deliberate 3,"mj, cinematic, cozy",
Addon::Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",
Addon::Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",
LORA1:: Bubble Anime 2D,"bubble,on the bubble,<lora:Bubble_Sora:0.7>,","(worst quality:1.5), (low quality:1.5), (normal quality:1.5), lowres, bad anatomy, bad hands, vaginas in breasts, ((monochrome)), ((grayscale)), collapsed eyeshadow, multiple eyebrow, (cropped), oversaturated, extra limb, missing limbs, deformed hands, long neck, long body, imperfect, (bad hands), signature, watermark, username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, painting by bad-artis"
LORA1::Portrait 3DMM Render LORA,"3dmm style,  <lora:3DMM_V11:1>","(worst quality:1.5),(low quality:1.5),(normal quality:1.5),lowres,bad anatomy,bad hands,vaginas in breasts,((monochrome)),((grayscale)),collapsed eyeshadow,multiple eyebrow,(cropped),oversaturated,extra limb,missing limbs,deformed hands,long neck,long body,imperfect,(bad hands),signature,watermark,username,artist name,conjoined fingers,deformed fingers,ugly eyes,imperfect eyes,skewed eyes,unnatural face,unnatural body,error,painting by bad-artist,"
LORA1::(0mib) Type of Vector Art,"(subject) in the style of 0mib,<lora:0mibNEW:1>,","glass, pedestal, socle, basement, camera, subsurface, underwater, hypermaximalist, diamond, (flowers), water, (leaves), (woman:2), (1girl:2), human, (worst quality:2), (low quality:2), (normal quality:2), border, frame, poorly drawn, childish, hands, hand, ((dof))"
LORA1::Bubble Photorealistic,"bubble,on the bubble,<lora:Bubble_Sora:0.7>,","illustration, 3d, 2d,  painting, cartoons, sketch, (worst quality:1.9), (low quality:1.9), (normal quality:1.9), lowres, bad anatomy, bad hands, vaginas in breasts, ((monochrome)), ((grayscale)), collapsed eyeshadow, multiple eyebrow, (cropped), oversaturated, extra limb, missing limbs, deformed hands, long neck, long body, imperfect, (bad hands), signature, watermark, username, artist name, conjoined fingers, deformed fingers, ugly eyes, imperfect eyes, skewed eyes, unnatural face, unnatural body, error, bad image, bad photo"
LORA_SD21::Sargent,"An oil painting by John Singer Sargent of (subject),<lora:JohnSingerSargent:1>,",
LORA_SD21::Andreev,"""Alex Andreev style,(subject), Alex Andreev,<lora:AlexAndreev:1>",
LORA_SD21::Balaskas,"(SUBJECT) by Christopher Balaskas,  <lora:ChristopherBalaskas:1>",
LORA_SD21::Daniel Arsham,"(SUBJECT) by Daniel Arsham, <lora:DanielArsham:1>",
NEg::embeddings,,"bad-image-v2-39000,bad_prompt_version2,bad-hands-5,easynegative,bad-artist-anime,ng_deepnegative_v1_75t,"
