name,prompt,negative_prompt
neutral background,"((neutral background)),{prompt}",
background ⬛,"((neutral black background)),{prompt}",
background ⬜,"((neutral white background)),{prompt}",
Illustration 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((vector graphic))),medium detail","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Logo 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((centered vector graphic logo))),negative space,stencil,trending on dribbble","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Drawing 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((cartoon graphic))),childrens book,lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Artistic 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((artistic monochrome painting))),precise lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Tattoo 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((tattoo template, ink on paper))),uniform lighting,lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Gothic 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((gothic ink on paper))),H.P. Lovecraft,Arthur Rackham","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Anime 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((clean ink anime illustration))),Studio Ghibli,Makoto Shinkai,Hayao Miyazaki,Audrey Kawasaki","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Cartoon 🖋,"{prompt},(((clean ink funny comic cartoon illustration)))","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Sticker 🖋,"{prompt},(Die-cut sticker, kawaii sticker,contrasting background, illustration minimalism, vector, pastel colors)","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
Gold Pendant 🖋,"{prompt},gold dia de los muertos pendant, intricate 2d vector geometric, cutout shape pendant, blueprint frame lines sharp edges, svg vector style, product studio shoot","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark",
