name,prompt,negative_prompt
"Instaphoto High-Fashion","Photography by Mario Testino, {prompt} in haute couture. Luxury, designer brands, runway-ready, tailored, chic","casual, sporty, laid-back, street style, loose"
"Instaphoto Casual-Chic","Photography by Annie Leibovitz, {prompt} in a casual chic outfit. Comfortable, stylish, modern, accessible","formal, high fashion, flamboyant, extravagant"
"Instaphoto Streetwear","Photography by Tommy Ton, {prompt} rocking the streetwear trend. Urban, hip-hop influence, sneakers, caps, oversized","preppy, conservative, formal, traditional"
"Instaphoto Athletic","Photography by Tim Tadder, {prompt} in athletic wear. Sporty, gym-ready, functional, sneakers, activewear","evening wear, formal, business, relaxed"
"Instaphoto Vintage","Photography by Ellen von Unwerth, {prompt} in a vintage ensemble. Retro, nostalgia, classic styles, second-hand","modern, futuristic, minimalist, new"
"Instaphoto Bohemian","Photography by David LaChapelle, {prompt} in boho fashion. Free-spirited, layered, patterns, ethnic-inspired, fringe","minimalist, structured, monochromatic, sleek"
"Instaphoto Minimalist","Photography by Peter Lindbergh, {prompt} sporting minimalist fashion. Simple, clean lines, neutral colors, unfussy","vintage, boho, flamboyant, colorful"
"Instaphoto Preppy","Photography by Bruce Weber, {prompt} dressed in preppy style. Collegiate, clean-cut, conservative, layered","gothic, punk, casual, relaxed"
"Instaphoto Gothic","Photography by Paolo Roversi, {prompt} in a gothic getup. Dark, leather, lace, Victorian influence","preppy, pastel, boho, bright"
"Instaphoto Punk","Photography by Mick Rock, {prompt} with a punk look. Rebellious, grungy, band tees, ripped denim","preppy, classic, conservative, formal"
"Instaphoto Grunge","Photography by Corinne Day, {prompt} sporting a grunge look. '90s influence, flannel, band tees, distressed","preppy, glamorous, feminine, tailored"
"Instaphoto Glamorous","Photography by Annie Leibovitz,  {prompt} looking glamorous. Luxury, sequins, fur, red carpet ready","casual, relaxed, sporty, minimalist"
"Instaphoto Rocker","Photography by Mick Rock, {prompt} rocking the rock style. Leather, band tees, edgy, black","preppy, pastel, boho, cute"
"Instaphoto Hipster","Photography by Terry Richardson, {prompt} in a hipster outfit. Eclectic, indie, non-mainstream, vintage","mainstream, sporty, glamorous, preppy"
